"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
52.3,50.7965087891,-17.52310569,-1.28960439175,6.21100193688
52.35,34.0850830078,-17.5929188601,-0.504206228354,9.43231950692
52.4,42.4407958984,-17.5580122751,0.0387850944887,5.60767824483
52.45,50.2166748047,-17.5580122751,0.0387850944888,1.41673331258
52.5,54.3029785156,-17.5580122751,0.0193925472444,-0.193925472444
52.55,44.6060180664,-17.5580122751,-0.00969627362219,-0.80263598317
52.6,43.049621582,-17.5580122751,-0.0484813681109,-1.14739237863
52.65,45.5200195313,-17.5580122751,-0.155140377955,-0.74876779638
52.7,51.8341064453,-17.5754655676,-0.213318019688,1.29822330164
52.75,53.2669067383,-17.5929188601,-0.0193925472444,3.31289348758
52.8,53.2669067383,-17.5754655676,0.184229198822,3.91621717963
52.85,54.2114257813,-17.5754655676,0.407243492132,3.19438347664
52.9,48.4786987305,-17.5405589825,0.649650332687,-0.344756395456
52.95,41.4642333984,-17.488199105,0.465421133865,-5.10131728901
53,37.1337890625,-17.4707458125,-0.106659009844,-5.41375277239
53.05,20.3918457031,-17.52310569,-0.290888208666,-1.93925472444
53.1,6.33239746094,-17.52310569,-0.0969627362219,-1.40595967522
53.15,1.30004882813,-17.5056523975,-0.290888208666,-3.06509982835
53.2,2.18505859375,-17.5405589825,-0.659346606309,-0.80263598317
53.25,2.1240234375,-17.6103721526,-0.407243492132,2.10085928481
53.3,2.18505859375,-17.5754655676,-0.213318019688,1.26051557088
53.35,2.18505859375,-17.6103721526,-0.339369576777,1.08813737316
53.4,2.18505859375,-17.6278254451,-0.184229198822,1.97157563651
53.45,2.21557617188,-17.6278254451,-0.0581776417331,1.55679059823
53.5,2.21557617188,-17.6278254451,-0.00969627362219,0.786475527133
53.55,2.21557617188,-17.6278254451,0,0.247793659234
53.6,2.21557617188,-17.6278254451,0,0.048481368111
53.65,2.21557617188,-17.6278254451,0,0.00538681867899
53.7,2.21557617188,-17.6278254451,0,0
53.75,2.24609375,-17.6278254451,0,0
53.8,2.21557617188,-17.6278254451,0,0
53.85,2.21557617188,-17.6278254451,0,0
53.9,2.21557617188,-17.6278254451,0,0
53.95,2.21557617188,-17.6278254451,0,0
