"Latest: Time (s)","Latest: Intensity (%)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
27.8,23.8677978516,-7.48746249106,-0.48481368111,-0.0161604560371
27.85,22.4044799805,-7.5223690761,-0.475117407487,0.635644604121
27.9,22.0687866211,-7.53982236862,-0.387850944888,0.667965516195
27.95,19.7814941406,-7.55727566114,-0.368458397643,1.8645578908E-013
28,19.2016601563,-7.57472895366,-0.387850944888,-0.667965516195
28.05,18.9270019531,-7.59218224618,-0.475117407487,-0.635644604122
28.1,19.0795898438,-7.62708883122,-0.48481368111,0.0215472747158
28.15,21.4889526367,-7.64454212374,-0.426636039376,0.005386818679
28.2,23.2269287109,-7.66199541626,-0.48481368111,0.0215472747162
28.25,24.3255615234,-7.69690200129,-0.475117407487,0.85650416996
28.3,23.9288330078,-7.71435529381,-0.378154671265,1.32515739503
28.35,23.4405517578,-7.73180858633,-0.319977029532,1.29283648296
28.4,23.5626220703,-7.74926187885,-0.22301429331,0.673352334874
28.45,23.4710693359,-7.74926187885,-0.22301429331,-0.452492769036
28.5,23.2574462891,-7.76671517137,-0.31028075591,-0.808022801849
28.55,22.6791381836,-7.78416846389,-0.339369576777,-0.479426862431
28.6,22.8012084961,-7.80162175641,-0.349065850399,-0.220859565839
28.65,23.4100341797,-7.81907504893,-0.349065850399,-0.226246384518
28.7,23.1964111328,-7.83652834145,-0.358762124021,-0.517134593184
28.75,22.7401733398,-7.85398163397,-0.387850944888,-0.991174636935
28.8,22.8927612305,-7.87143492649,-0.48481368111,-0.921145994108
28.85,24.0814208984,-7.90634151153,-0.513902501976,-0.0969627362219
28.9,26.1856079102,-7.92379480405,-0.504206228354,1.02349554901
28.95,27.8930664063,-7.95870138909,-0.436332312999,2.47793659234
29,29.1442871094,-7.97615468161,-0.213318019688,3.0004580042
29.05,29.6020507813,-7.97615468161,-0.0581776417331,2.0254438233
29.1,29.5715332031,-7.97615468161,-0.00969627362219,0.888825082034
29.15,29.3579101563,-7.97615468161,0,0.263954115271
29.2,29.1137695313,-7.97615468161,0,0.0484813681109
29.25,28.7780761719,-7.97615468161,0,0.00538681867899
29.3,28.6254882813,-7.97615468161,0,0
29.35,27.83203125,-7.97615468161,0,0
29.4,28.3508300781,-7.97615468161,0,0
29.45,28.80859375,-7.97615468161,0,-0.010773637358
29.5,28.3813476563,-7.97615468161,0,-0.0861890988639
29.55,27.4658203125,-7.97615468161,0,-0.447105950357
29.6,28.5034179688,-7.97615468161,-0.0193925472444,-1.36286512579
29.65,29.4799804688,-7.97615468161,-0.0969627362219,-2.83885344383
29.7,28.80859375,-7.97615468161,-0.339369576777,-3.49604532267
29.75,26.6128540039,-8.01106126665,-0.562383870087,-2.03083064198
29.8,24.6307373047,-8.04596785169,-0.542991322843,-0.430945494319
29.85,24.0203857422,-8.06342114421,-0.53329504922,-0.0915759175428
29.9,23.5931396484,-8.09832772925,-0.53329504922,-0.226246384518
29.95,23.5626220703,-8.11578102177,-0.552687596465,-0.500974137146
30,24.9664306641,-8.15068760681,-0.62056151182,-0.188538653765
30.05,25.4531860352,-8.18559419185,-0.562383870087,-0.05386818679
30.1,28.1066894531,-8.20304748437,-0.572080143709,-0.824183257886
30.15,30.7601928711,-8.23795406941,-0.669042879931,-1.14200555995
30.2,33.3831787109,-8.27286065445,-0.717524248042,-0.818796439207
30.25,36.8591308594,-8.30776723949,-0.785398163397,0.145444104333
30.3,35.7009887695,-8.36012711705,-0.698131700798,0.980400999577
30.35,34.6939086914,-8.37758040957,-0.610865238198,0.506360955825
30.4,32.8948974609,-8.41248699461,-0.659346606309,0.183151835086
30.45,33.4136962891,-8.44739357965,-0.649650332687,0.791862345812
30.5,30.1498413086,-8.48230016469,-0.562383870087,1.27128920824
30.55,28.7475585938,-8.49975345721,-0.513902501976,1.6914610652
30.6,27.8625488281,-8.53466004225,-0.436332312999,2.69879615818
30.65,25.2395629883,-8.55211333477,-0.213318019688,3.04355255363
30.7,25.1190185547,-8.55211333477,-0.0581776417331,2.03083064198
30.75,23.7457275391,-8.55211333477,-0.00969627362219,0.888825082034
30.8,22.9827880859,-8.55211333477,0,0.263954115271
30.85,23.3795166016,-8.55211333477,0,0.048481368111
30.9,21.6720581055,-8.55211333477,0,0.005386818679
30.95,21.6415405273,-8.55211333477,0,0
31,21.7025756836,-8.55211333477,0,0
31.05,21.7636108398,-8.55211333477,0,0
31.1,21.4584350586,-8.55211333477,0,0
31.15,21.8856811523,-8.55211333477,0,0
31.2,21.305847168,-8.55211333477,0,0
31.25,22.9232788086,-8.55211333477,0,0
31.3,24.4781494141,-8.55211333477,0,0
31.35,24.6917724609,-8.55211333477,0,-0.005386818679
31.4,24.6612548828,-8.55211333477,0,-0.043094549432
31.45,24.5391845703,-8.55211333477,0,-0.226246384518
31.5,25.910949707,-8.55211333477,-0.00969627362219,-0.700286428269
31.55,25.6973266602,-8.55211333477,-0.048481368111,-1.51908286748
31.6,25.2090454102,-8.55211333477,-0.174532925199,-2.04160427934
31.65,24.5086669922,-8.56956662729,-0.300584482288,-1.70223470256
31.7,23.2269287109,-8.58701991981,-0.349065850399,-1.21203420277
31.75,22.7096557617,-8.60447321233,-0.387850944888,-1.22819465881
31.8,22.1298217773,-8.62192650485,-0.48481368111,-1.0504296424
31.85,22.3129272461,-8.65683308989,-0.513902501976,-0.554842323937
31.9,22.8927612305,-8.67428638241,-0.523598775598,-0.37707730753
31.95,22.5570678711,-8.70919296745,-0.53329504922,-0.544068686579
32,22.1603393555,-8.72664625997,-0.562383870087,-0.969627362219
32.05,23.6236572266,-8.76155284501,-0.659346606309,-0.818796439207
32.1,25.7278442383,-8.79645943005,-0.678739153553,-0.0323209120741
32.15,25.6973266602,-8.83136601509,-0.659346606309,0.662578697516
32.2,25.5447387695,-8.86627260013,-0.572080143709,0.6410314228
32.25,22.770690918,-8.88372589265,-0.562383870087,0.0215472747159
32.3,20.3918457031,-8.91863247769,-0.62056151182,0.220859565839
32.35,19.2626953125,-8.95353906273,-0.552687596465,0.678739153554
32.4,19.7814941406,-8.97099235525,-0.523598775598,0.657191878838
32.45,20.7260131836,-9.00589894029,-0.494509954732,0.673352334875
32.5,22.3739624023,-9.02335223281,-0.426636039376,0.188538653765
32.55,23.2879638672,-9.04080552533,-0.48481368111,-0.118510010938
32.6,23.2879638672,-9.07571211037,-0.48481368111,0.393237763566
32.65,22.770690918,-9.09316540289,-0.416939765754,0.554842323936
32.7,23.0438232422,-9.11061869541,-0.446028586621,1.02888236769
32.75,23.9593505859,-9.14552528045,-0.339369576777,1.86383926293
32.8,25.1495361328,-9.14552528045,-0.213318019688,1.87461290029
32.85,26.0330200195,-9.16297857297,-0.145444104333,1.66991379049
32.9,25.9719848633,-9.16297857297,-0.0387850944888,1.22280784013
32.95,26.9485473633,-9.16297857297,-0.00969627362219,0.554842323937
33,27.4047851563,-9.16297857297,0,0.193925472444
33.05,28.3203125,-9.16297857297,0,0.037707730753
33.1,28.9611816406,-9.16297857297,0,0.005386818679
33.15,28.7780761719,-9.16297857297,0,0
33.2,28.9306640625,-9.16297857297,0,0
33.25,28.8391113281,-9.16297857297,0,0
33.3,28.9916992188,-9.16297857297,0,0
33.35,27.9541015625,-9.16297857297,0,0
