"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
8.1,58979.2218018,-1.58824961931,0,0,8.1,27.5268554688,-2.18166156499,-0.562383870087,1.00733509297
8.15,58041.1358643,-1.58824961931,0,0,8.15,24.4171142578,-2.19911485751,-0.523598775598,1.02888236769
8.2,55698.8525391,-1.58824961931,0,-0.010773637358,8.2,23.3184814453,-2.23402144255,-0.48481368111,1.4113464939
8.25,59213.7432861,-1.58824961931,0,-0.0808022801849,8.25,22.282409668,-2.25147473507,-0.378154671265,1.73994243332
8.3,58392.9180908,-1.58824961931,0,-0.404011400925,8.3,22.038269043,-2.26892802759,-0.31028075591,2.03083064198
8.35,58451.5484619,-1.58824961931,-0.0193925472444,-1.13661874127,8.35,22.1908569336,-2.28638132011,-0.174532925199,2.19243520235
8.4,58744.7003174,-1.58824961931,-0.0872664625997,-2.14395383424,8.4,21.6415405273,-2.28638132011,-0.048481368111,1.55140377955
8.45,58451.5484619,-1.58824961931,-0.290888208666,-2.02005700462,8.45,21.1837768555,-2.28638132011,-0.00969627362219,0.705673246948
8.5,59037.8521729,-1.62315620435,-0.387850944888,-0.210085928481,8.5,19.140625,-2.28638132011,0,0.226246384518
8.55,55522.9614258,-1.64060949687,-0.252103114177,0.603323692047,8.55,19.1711425781,-2.28638132011,0,0.043094549432
8.6,54526.2451172,-1.64060949687,-0.232710566933,-0.242406840555,8.6,19.5373535156,-2.28638132011,0,0.005386818679
8.65,53764.050293,-1.65806278939,-0.31028075591,-0.673352334874,8.65,19.4763183594,-2.28638132011,0,0
8.7,52943.2250977,-1.67551608191,-0.339369576777,-0.441719131677,8.7,19.140625,-2.28638132011,0,0
8.75,50952.723999,-1.69296937443,-0.349065850399,-0.172378197728,8.75,19.4458007813,-2.28638132011,0,-0.00538681867899
8.8,50014.6380615,-1.71042266695,-0.349065850399,0,8.8,19.5068359375,-2.28638132011,0,-0.0484813681109
8.85,48490.2484131,-1.72787595947,-0.349065850399,0.177765016407,8.85,19.62890625,-2.28638132011,0,-0.26934093395
8.9,48783.4002686,-1.74532925199,-0.339369576777,0.474040043751,8.9,20.5749511719,-2.28638132011,-0.00969627362219,-0.921145994108
8.95,48724.7698975,-1.76278254451,-0.31028075591,0.813409620528,8.95,20.7260131836,-2.28638132011,-0.0581776417331,-2.18166156499
9,48959.2913818,-1.78023583703,-0.22301429331,0.490200499789,9,21.061706543,-2.28638132011,-0.22301429331,-3.37214849305
9.05,50307.789917,-1.78023583703,-0.22301429331,-0.490200499788,9.05,22.1603393555,-2.30383461263,-0.465421133865,-3.22131757004
9.1,51890.8099365,-1.79768912955,-0.31028075591,-0.808022801849,9.1,22.038269043,-2.33874119767,-0.610865238198,-1.83690516954
9.15,54760.7666016,-1.81514242207,-0.339369576777,-0.436332312999,9.15,22.282409668,-2.37364778271,-0.601168964576,-1.06120327976
9.2,60327.7203369,-1.83259571459,-0.349065850399,1.99639687498E-013,9.2,22.4044799805,-2.39110107523,-0.688435427176,-0.737994159022
9.25,62494.1125488,-1.85004900711,-0.339369576777,0.436332312999,9.25,25.3921508789,-2.44346095279,-0.746613068909,0.624870966763
9.3,64839.3273926,-1.86750229963,-0.31028075591,0.808022801849,9.3,25.422668457,-2.47836753783,-0.591472690954,1.30361012032
9.35,64546.1755371,-1.88495559215,-0.22301429331,0.490200499788,9.35,25.9414672852,-2.49582083035,-0.542991322843,0.651805060158
9.4,66067.633667,-1.88495559215,-0.22301429331,-0.490200499789,9.4,25.0579833984,-2.53072741539,-0.53329504922,0.00538681867898
9.45,69526.8255615,-1.90240888467,-0.31028075591,-0.813409620528,9.45,22.2213745117,-2.54818070791,-0.552687596465,-0.457879587715
9.5,73921.171875,-1.91986217719,-0.339369576777,-0.474040043751,9.5,20.9701538086,-2.58308729295,-0.62056151182,-0.177765016407
9.55,75618.5211182,-1.93731546971,-0.349065850399,-0.183151835086,9.55,20.0866699219,-2.61799387799,-0.562383870087,-0.0161604560368
9.6,74797.6959229,-1.95476876223,-0.349065850399,-0.032320912074,9.6,20.5139160156,-2.63544717051,-0.572080143709,-0.635644604121
9.65,73217.6074219,-1.97222205475,-0.349065850399,0.0323209120741,9.65,21.8246459961,-2.67035375555,-0.659346606309,-0.630257785442
9.7,72338.1518555,-1.98967534727,-0.349065850399,0.183151835086,9.7,23.1964111328,-2.70526034059,-0.678739153553,0.183151835086
9.75,69585.4559326,-2.00712863979,-0.339369576777,0.474040043752,9.75,22.6791381836,-2.74016692563,-0.649650332687,1.14200555995
9.8,66009.0032959,-2.02458193231,-0.31028075591,0.818796439207,9.8,22.9232788086,-2.77507351067,-0.53329504922,1.45982786201
9.85,62787.2644043,-2.04203522483,-0.22301429331,0.527908230541,9.85,24.1729736328,-2.79252680319,-0.436332312999,0.554842323936
9.9,60386.350708,-2.04203522483,-0.22301429331,-0.307048664703,9.9,24.7833251953,-2.80998009571,-0.494509954732,-0.037707730753
9.95,59331.0040283,-2.05948851735,-0.300584482288,-0.339369576777,9.95,26.1856079102,-2.84488668075,-0.504206228354,0.603323692047
10,58861.9610596,-2.07694180987,-0.300584482288,0.344756395456,10,27.9846191406,-2.86233997327,-0.465421133865,1.87999971897
10.05,58334.2877197,-2.09439510239,-0.22301429331,0.344756395456,10.05,28.7170410156,-2.89724655831,-0.31028075591,2.97352391081
10.1,56985.7891846,-2.09439510239,-0.22301429331,-0.344756395456,10.1,29.4189453125,-2.89724655831,-0.0872664625997,2.51025750441
10.15,56050.6347656,-2.11184839491,-0.300584482288,-0.344756395456,10.15,29.2663574219,-2.89724655831,-0.0193925472444,1.21203420277
10.2,55464.3310547,-2.12930168743,-0.300584482288,0.339369576777,10.2,28.0151367188,-2.89724655831,0,0.414785038283
10.25,55816.1132813,-2.14675497995,-0.22301429331,0.312435483382,10.25,28.3813476563,-2.89724655831,0,0.0808022801849
10.3,55698.8525391,-2.14675497995,-0.22301429331,-0.490200499789,10.3,28.1982421875,-2.89724655831,0,0.010773637358
10.35,54408.984375,-2.16420827247,-0.31028075591,-0.635644604121,10.35,28.1066894531,-2.89724655831,0,0
10.4,53236.3769531,-2.18166156499,-0.329673303154,1.40396953322E-013,10.4,27.8015136719,-2.89724655831,0,0
