"Latest: Time (s)","Latest: Potential 2 (mV)","Latest: Potential 1 (V)","Latest: Current (A)"
6.317,-54.9124511719,-1.7032623291,-0.325736999512
6.318,-74.6686889648,-1.65748596191,-0.320777893066
6.319,-101.512683105,-1.6040802002,-0.314292907715
6.32,-121.739868164,-1.55048370361,-0.306282043457
6.321,-134.926391602,-1.4856338501,-0.297889709473
6.322,-145.287231445,-1.42078399658,-0.289115905762
6.323,-156.58996582,-1.35192871094,-0.279197692871
6.324,-170.22388916,-1.27182006836,-0.268516540527
6.325,-183.410412598,-1.19915008545,-0.257453918457
6.326,-199.422619629,-1.11141204834,-0.24486541748
6.327,-213.080090332,-1.02348327637,-0.231513977051
6.328,-223.888330078,-0.935554504395,-0.217781066895
6.329,-233.778222656,-0.836372375488,-0.203666687012
6.33,-243.197167969,-0.740814208984,-0.188407897949
6.331,-252.145166016,-0.645446777344,-0.173530578613
6.332,-260.622216797,-0.542259216309,-0.157146453857
6.333,-267.662878418,-0.442886352539,-0.141124725342
6.334,-272.84329834,-0.336074829102,-0.1247215271
6.335,-277.08182373,-0.229072570801,-0.107936859131
6.336,-281.320349121,-0.125885009766,-0.0907707214355
6.337,-286.029821777,-0.0152587890625,-0.0736045837402
6.338,-289.326452637,0.0879287719727,-0.0556755065918
6.339,-292.15213623,0.194931030273,-0.0381278991699
6.34,-294.506872559,0.301742553711,-0.0201988220215
6.341,-295.919714355,0.404930114746,-0.00265121459961
6.342,-296.390661621,0.511932373047,0.0156593322754
6.343,-295.44876709,0.615119934082,0.0328063964844
6.344,-294.035925293,0.710487365723,0.0503540039063
6.345,-291.210241699,0.813674926758,0.0679016113281
6.346,-287.91361084,0.905227661133,0.08544921875
6.347,-283.675085449,0.996971130371,0.101852416992
6.348,-278.023718262,1.09252929688,0.118637084961
6.349,-271.901403809,1.17263793945,0.135040283203
6.35,-265.30814209,1.25675201416,0.150680541992
6.351,-257.796533203,1.33686065674,0.165557861328
6.352,-278.023718262,1.40953063965,0.183486938477
6.353,-283.204138184,1.47438049316,0.200271606445
6.354,-273.785192871,1.53923034668,0.216293334961
6.355,-262.035058594,1.60045623779,0.23229598999
6.356,-248.848535156,1.65386199951,0.246410369873
6.357,-233.778222656,1.6996383667,0.260524749756
6.358,-218.707910156,1.74560546875,0.273113250732
6.359,-203.66114502,1.78756713867,0.284938812256
6.36,-187.177990723,1.81427001953,0.295238494873
6.361,-169.281994629,1.84478759766,0.30553817749
6.362,-144.81628418,1.86386108398,0.313167572021
6.363,-128.333129883,1.87931060791,0.320415496826
6.364,-104.809313965,1.89075469971,0.326519012451
6.365,-90.6808959961,1.89456939697,0.331478118896
6.366,-76.5524780273,1.88694000244,0.335292816162
6.367,-60.0928710937,1.88312530518,0.338344573975
6.368,-42.196875,1.86786651611,0.340633392334
6.369,-32.7779296875,1.84097290039,0.34215927124
6.37,-19.1440063477,1.8180847168,0.342922210693
6.371,1.57767333984,1.78375244141,0.341777801514
6.372,23.2412475586,1.74560546875,0.340251922607
6.373,43.9393798828,1.70345306396,0.336818695068
6.374,60.8934814453,1.65004730225,0.333003997803
6.375,81.1206665039,1.60045623779,0.327281951904
6.376,101.842346191,1.53923034668,0.320415496826
6.377,121.151184082,1.4705657959,0.312786102295
6.378,138.552685547,1.40571594238,0.304012298584
