"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
11.596,0.166931152344,-0.0205993652344,3.98559570313
11.597,0.166931152344,-0.0320434570313,3.98178100586
11.598,0.166931152344,-0.0320434570313,3.98178100586
11.599,0.166931152344,-0.0434875488281,3.98178100586
11.6,0.16731262207,-0.0473022460938,3.97415161133
11.601,0.166931152344,-0.0396728515625,3.97796630859
11.602,0.16731262207,-0.0205993652344,3.98178100586
11.603,0.166931152344,-0.0167846679688,3.98559570313
11.604,0.166931152344,-0.0091552734375,3.98178100586
11.605,0.166931152344,-0.00152587890625,3.98178100586
11.606,0.16731262207,-0.00534057617188,3.97796630859
11.607,0.166931152344,-0.00152587890625,3.98178100586
11.608,0.166931152344,0.00228881835938,3.97415161133
11.609,0.166931152344,0.006103515625,3.97796630859
11.61,0.166931152344,-0.00152587890625,3.98559570313
11.611,0.166931152344,-0.0091552734375,3.98559570313
11.612,0.16731262207,-0.0167846679688,3.98178100586
11.613,0.166931152344,-0.0320434570313,3.98178100586
11.614,0.166931152344,-0.0358581542969,3.97796630859
11.615,0.166931152344,-0.0396728515625,3.97415161133
11.616,0.16731262207,-0.0396728515625,3.97415161133
11.617,0.166931152344,-0.0358581542969,3.98178100586
11.618,0.166931152344,-0.0282287597656,3.98178100586
11.619,0.166931152344,-0.0244140625,3.97415161133
11.62,-0.014533996582,-0.0244140625,-3.9493560791
11.621,-0.115547180176,0.0175476074219,-3.91883850098
11.622,-0.149478912354,0.00991821289063,-3.90739440918
11.623,-0.161304473877,0.006103515625,-3.90739440918
11.624,-0.165481567383,0.00991821289063,-3.89976501465
11.625,-0.166625976563,0.006103515625,-3.89976501465
11.626,-0.167388916016,-0.00152587890625,-3.89976501465
11.627,-0.167388916016,-0.0129699707031,-3.90357971191
11.628,-0.167388916016,-0.0205993652344,-3.89976501465
11.629,-0.167770385742,-0.0244140625,-3.89976501465
11.63,-0.167388916016,-0.0282287597656,-3.89976501465
11.631,-0.167388916016,-0.0282287597656,-3.89595031738
