"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Current (A)","Latest: Potential 2 (V)"
9.045,,-0.167770385742,-0.591659545898
9.046,,-0.167388916016,-0.595474243164
9.047,,-0.167388916016,-0.595474243164
9.048,,-0.167770385742,-0.595474243164
9.049,,-0.167388916016,-0.595474243164
9.05,,-0.167388916016,-0.595474243164
9.051,,-0.167770385742,-0.587844848633
9.052,,-0.167388916016,-0.591659545898
9.053,,-0.167770385742,-0.591659545898
9.054,,-0.167388916016,-0.595474243164
9.055,,-0.167388916016,-0.591659545898
9.056,,-0.167770385742,-0.591659545898
9.057,,-0.167388916016,-0.591659545898
9.058,,-0.167388916016,-0.595474243164
9.059,,-0.167388916016,-0.591659545898
9.06,,-0.167388916016,-0.595474243164
9.061,,-0.167770385742,-0.595474243164
9.062,,-0.167388916016,-0.595474243164
9.063,,-0.167388916016,-0.591659545898
9.064,,-0.167388916016,-0.59928894043
9.065,,-0.167388916016,-0.59928894043
9.066,,-0.0362586975098,4.76303100586
9.067,,0.097541809082,2.03800201416
9.068,,0.143280029297,1.11198425293
9.069,,0.158920288086,0.79174041748
9.07,,0.164260864258,0.685119628906
9.071,,0.165786743164,0.64697265625
9.072,,0.166549682617,0.635528564453
9.073,,0.166549682617,0.631713867188
9.074,,0.166931152344,0.631713867188
9.075,,0.166931152344,0.627899169922
9.076,,0.166931152344,0.624084472656
9.077,,0.166931152344,0.624084472656
9.078,,0.166931152344,0.627899169922
9.079,,0.166931152344,0.627899169922
9.08,,0.166931152344,0.627899169922
9.081,,0.166931152344,0.627899169922
9.082,,0.166931152344,0.627899169922
9.083,,0.166931152344,0.627899169922
9.084,,0.166931152344,0.624084472656
9.085,,0.166931152344,0.627899169922
9.086,,0.166931152344,0.624084472656
9.087,,0.166931152344,0.624084472656
9.088,,0.166931152344,0.627899169922
9.089,,0.166931152344,0.624084472656
9.09,,0.166931152344,0.627899169922
9.091,,0.166931152344,0.624084472656
9.092,,0.166931152344,0.627899169922
9.093,,0.166931152344,0.624084472656
9.094,,0.166931152344,0.624084472656
9.095,,0.166931152344,0.624084472656
9.096,,0.166931152344,0.624084472656
9.097,,0.16731262207,0.624084472656
9.098,,0.166931152344,0.624084472656
9.099,,0.166931152344,0.627899169922
9.1,,0.166931152344,0.635528564453
9.101,,0.166931152344,0.627899169922
9.102,,0.166931152344,0.627899169922
9.103,,0.16731262207,0.627899169922
9.104,,0.166931152344,0.627899169922
9.105,,0.16731262207,0.627899169922
9.106,,0.166931152344,0.627899169922
9.107,,0.166931152344,0.627899169922
9.108,,0.166931152344,0.627899169922
9.109,,0.166931152344,0.627899169922
9.11,,0.166931152344,0.627899169922
9.111,,0.166931152344,0.627899169922
9.112,,0.166931152344,0.627899169922
9.113,,0.166931152344,0.627899169922
9.114,,0.166931152344,0.631713867188
9.115,,0.166931152344,0.627899169922
9.116,,0.0205421447754,-4.38003540039
9.117,,-0.103359222412,-1.90658569336
9.118,,-0.145282745361,-1.04522705078
9.119,,-0.159778594971,-0.751686096191
9.12,,-0.165100097656,-0.645065307617
9.121,,-0.166625976563,-0.614547729492
9.122,,-0.167388916016,-0.59928894043
9.123,,-0.167388916016,-0.595474243164
9.124,,-0.167388916016,-0.595474243164
9.125,,-0.167388916016,-0.59928894043
9.126,,-0.167388916016,-0.59928894043
9.127,,-0.167388916016,-0.595474243164
9.128,,-0.167388916016,-0.59928894043
9.129,,-0.167770385742,-0.595474243164
9.13,,-0.167388916016,-0.595474243164
9.131,,-0.167388916016,-0.595474243164
9.132,,-0.167388916016,-0.595474243164
9.133,,-0.167388916016,-0.591659545898
9.134,,-0.167770385742,-0.595474243164
9.135,,-0.167388916016,-0.595474243164
9.136,,-0.167388916016,-0.595474243164
9.137,,-0.167770385742,-0.591659545898
9.138,,-0.167388916016,-0.595474243164
