"Latest: Time (s)","Latest: Potential (mV)","Latest: Current (A)"
23.28,-94.4484741211,0.135803222656
23.281,-93.9775268555,0.141143798828
23.282,-93.5065795898,0.146865844727
23.283,-93.0356323242,0.152587890625
23.284,-93.0356323242,0.158309936523
23.285,-93.0356323242,0.163650512695
23.286,-92.5646850586,0.168991088867
23.287,-92.093737793,0.174331665039
23.288,-91.6227905273,0.180053710938
23.289,-91.1518432617,0.185394287109
23.29,-90.6808959961,0.191116333008
23.291,-90.2099487305,0.19645690918
23.292,-89.7390014648,0.201797485352
23.293,-89.2680541992,0.207138061523
23.294,-88.326159668,0.212097167969
23.295,-87.8552124023,0.217819213867
23.296,-87.3842651367,0.222778320313
23.297,-86.9133178711,0.228481292725
23.298,-85.9714233398,0.23344039917
23.299,-85.5004760742,0.238399505615
23.3,-85.0295288086,0.243740081787
23.301,-84.558581543,0.248317718506
23.302,-84.558581543,0.253658294678
23.303,-83.1457397461,0.258235931396
23.304,-82.2038452148,0.263195037842
23.305,-81.7328979492,0.268154144287
23.306,-81.2619506836,0.273113250732
23.307,-80.3200561523,0.277690887451
23.308,-80.3200561523,0.283031463623
23.309,-78.9072143555,0.287227630615
23.31,-77.9653198242,0.291805267334
23.311,-77.4943725586,0.296764373779
23.312,-76.5524780273,0.301342010498
23.313,-76.0815307617,0.305919647217
23.314,-75.1396362305,0.310115814209
23.315,-74.1977416992,0.314693450928
23.316,-73.7267944336,0.31888961792
23.317,-72.7848999023,0.323467254639
23.318,-72.7848999023,0.327663421631
23.319,-71.3720581055,0.33224105835
23.32,-70.4301635742,0.336055755615
23.321,-69.5118164062,0.339870452881
23.322,-68.569921875,0.344066619873
23.323,-67.6280273437,0.348262786865
23.324,-67.1570800781,0.352077484131
23.325,-65.7442382812,0.355892181396
23.326,-64.80234375,0.359706878662
23.327,-63.8604492187,0.363140106201
23.328,-62.4476074219,0.367336273193
23.329,-61.9766601562,0.371150970459
23.33,-61.034765625,0.374584197998
23.331,-60.0928710937,0.378398895264
23.332,-58.6800292969,0.381832122803
23.333,-57.7381347656,0.385265350342
23.334,-57.2671875,0.388317108154
23.335,-56.3252929687,0.391750335693
23.336,-55.3833984375,0.394802093506
23.337,-53.9705566406,0.398235321045
23.338,-53.0286621094,0.401287078857
23.339,-52.0867675781,0.40433883667
23.34,-51.1448730469,0.407390594482
23.341,-50.2029785156,0.410060882568
23.342,-48.7901367187,0.413112640381
23.343,-47.8482421875,0.415782928467
23.344,-46.4354003906,0.418834686279
23.345,-45.4935058594,0.421485900879
23.346,-44.5516113281,0.424156188965
23.347,-43.1387695312,0.426826477051
23.348,-42.196875,0.42911529541
23.349,-40.7840332031,0.431785583496
23.35,-39.8421386719,0.433692932129
23.351,-38.9002441406,0.435981750488
23.352,-37.4874023437,0.437889099121
23.353,-37.0164550781,0.44017791748
23.354,-35.1326660156,0.442085266113
23.355,-34.1907714844,0.443992614746
23.356,-32.7779296875,0.446281433105
23.357,-31.8360351562,0.448188781738
23.358,-30.894140625,0.450096130371
23.359,-29.0103515625,0.451240539551
23.36,-28.0684570312,0.453147888184
23.361,-26.6556152344,0.455055236816
23.362,-25.7137207031,0.456199645996
23.363,-24.3008789062,0.457725524902
23.364,-23.358984375,0.458869934082
23.365,-21.9696899414,0.460395812988
23.366,-20.5568481445,0.461540222168
23.367,-19.6149536133,0.462684631348
23.368,-19.1440063477,0.463829040527
23.369,-17.7311645508,0.46459197998
23.37,-16.3183227539,0.465354919434
23.371,-15.3764282227,0.466117858887
23.372,-13.9635864258,0.467262268066
23.373,-13.0216918945,0.467643737793
23.374,-11.6088500977,0.468406677246
23.375,-10.1960083008,0.468788146973
23.376,-8.31221923828,0.469551086426
23.377,-6.89937744141,0.470314025879
23.378,-5.95748291016,0.470314025879
23.379,-5.01558837891,0.470695495605
23.38,-4.07369384766,0.470695495605
23.381,-2.66085205078,0.470695495605
23.382,-1.24801025391,0.471076965332
23.383,0.164831542969,0.471076965332
23.384,1.10672607422,0.471076965332
23.385,2.04862060547,0.470314025879
23.386,3.46146240234,0.470314025879
23.387,4.40335693359,0.469932556152
23.388,5.81619873047,0.469932556152
23.389,6.75809326172,0.468788146973
23.39,8.17093505859,0.468406677246
23.391,9.11282958984,0.467643737793
23.392,10.5256713867,0.467262268066
23.393,11.9385131836,0.466499328613
23.394,13.3513549805,0.465354919434
23.395,14.2932495117,0.46459197998
23.396,15.7060913086,0.463447570801
23.397,16.6479858398,0.462303161621
23.398,18.0608276367,0.461158752441
23.399,19.9446166992,0.460395812988
23.4,20.8865112305,0.458869934082
23.401,21.3574584961,0.457344055176
23.402,22.770300293,0.45581817627
23.403,24.1831420898,0.45467376709
23.404,25.1250366211,0.453147888184
23.405,26.5143310547,0.451622009277
23.406,27.4562255859,0.449714660645
23.407,28.8690673828,0.447807312012
23.408,29.8109619141,0.445899963379
23.409,31.2238037109,0.44361114502
23.41,32.1656982422,0.442085266113
23.411,33.5785400391,0.439796447754
23.412,34.5204345703,0.437889099121
23.413,35.4623291016,0.435600280762
23.414,36.8751708984,0.433311462402
