"Latest: Time (s)","Latest: Illumination (lux)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)","Run 1: Time (s)","Run 1: Intensity (%)","Run 1: Angle (rad)","Run 1: Velocity (rad/s)","Run 1: Acceleration (rad/s²)"
11.5,91495.6256104,-2.75762021815,0,-0.043094549432,11.5,24.3560791016,-3.36848545635,-0.552687596465,0.6410314228
11.55,91436.9952393,-2.75762021815,0,-0.226246384518,11.55,24.1119384766,-3.38593874887,-0.53329504922,0.21547274716
11.6,91671.5167236,-2.75762021815,-0.00969627362219,-0.700286428269,11.6,25.6362915039,-3.42084533391,-0.53329504922,-0.123896829617
11.65,92257.8204346,-2.75762021815,-0.048481368111,-1.5136960488,11.65,29.6920776367,-3.43829862643,-0.552687596465,-0.226246384518
11.7,94133.9923096,-2.75762021815,-0.174532925199,-2.00928336727,11.7,29.9362182617,-3.47320521147,-0.610865238198,0.743380977701
11.75,96886.6882324,-2.77507351067,-0.300584482288,-1.55679059823,11.75,28.2897949219,-3.50811179651,-0.504206228354,2.19243520235
11.8,96769.4274902,-2.79252680319,-0.339369576777,-0.921145994108,11.8,26.9485473633,-3.52556508903,-0.349065850399,2.83885344383
11.85,98059.2956543,-2.80998009571,-0.358762124021,-0.883438263355,11.85,25.3921508789,-3.54301838155,-0.184229198822,2.6664752461
11.9,99466.4245605,-2.82743338823,-0.39754721851,-1.33593103239,11.9,24.9359130859,-3.54301838155,-0.048481368111,1.73455561464
11.95,96710.7971191,-2.84488668075,-0.513902501976,-1.34670466975,11.95,24.0509033203,-3.54301838155,-0.00969627362219,0.743380977701
12,90325.949707,-2.87979326579,-0.601168964576,-0.188538653765,12,22.7096557617,-3.54301838155,0,0.231633203197
12.05,88742.9296875,-2.91469985083,-0.523598775598,0.786475527133,12.05,23.1353759766,-3.54301838155,0,0.043094549432
12.1,85931.6033936,-2.93215314335,-0.436332312999,0.253180477912,12.1,22.8012084961,-3.54301838155,0,0.005386818679
12.15,86635.1678467,-2.94960643587,-0.494509954732,-0.495587318468,12.15,22.5570678711,-3.54301838155,0,0
12.2,86869.6893311,-2.98451302091,-0.523598775598,-0.619484148084,12.2,22.5570678711,-3.54301838155,0,0
12.25,89387.8637695,-3.00196631343,-0.552687596465,-0.667965516195,12.25,23.1964111328,-3.54301838155,0,0
12.3,91612.8863525,-3.03687289847,-0.62056151182,-0.183151835086,12.3,25.0579833984,-3.54301838155,0,0
12.35,94778.9263916,-3.07177948351,-0.562383870087,0.16160456037,12.35,24.6917724609,-3.54301838155,0,0
12.4,94778.9263916,-3.08923277603,-0.562383870087,-0.16160456037,12.4,23.4405517578,-3.54301838155,0,0
12.45,95538.1896973,-3.12413936107,-0.62056151182,0.183151835085,12.45,22.3739624023,-3.54301838155,0,0
12.5,104092.36084,-3.15904594611,-0.552687596465,0.673352334874,12.5,22.3129272461,-3.54301838155,0,0
12.55,109835.205688,-3.17649923863,-0.523598775598,0.651805060159,12.55,22.7096557617,-3.54301838155,0,0
12.6,108838.48938,-3.21140582367,-0.494509954732,0.641031422801,12.6,23.5015869141,-3.54301838155,0,-0.00538681867899
12.65,109366.16272,-3.22885911619,-0.426636039376,0.0377077307527,12.65,23.1658935547,-3.54301838155,0,-0.0484813681109
12.7,107727.443848,-3.24631240871,-0.494509954732,-0.447105950357,12.7,22.526550293,-3.54301838155,0,-0.263954115271
12.75,103215.836792,-3.28121899375,-0.513902501976,-0.140057285654,12.75,22.8927612305,-3.54301838155,-0.00969627362219,-0.878051444676
12.8,98880.1208496,-3.29867228627,-0.513902501976,0.32320912074,12.8,22.9827880859,-3.54301838155,-0.0581776417331,-1.9500283618
12.85,88918.8208008,-3.33357887131,-0.484813681109,0.786475527133,12.85,22.8927612305,-3.54301838155,-0.213318019688,-2.63415433403
12.9,82240.8215332,-3.35103216383,-0.39754721851,0.522521411862,12.9,21.9772338867,-3.56047167407,-0.416939765754,-1.53524332351
12.95,77142.9107666,-3.36848545635,-0.39754721851,-0.301661846023,12.95,21.7636108398,-3.59537825911,-0.426636039376,0.554842323936
13,77025.6500244,-3.38593874887,-0.475117407487,-0.301661846023,13,20.7565307617,-3.61283155163,-0.261799387799,0.813409620528
13.05,69350.9344482,-3.42084533391,-0.475117407487,0.527908230541,13.05,20.6970214844,-3.61283155163,-0.242406840555,-0.937306450145
13.1,68236.9573975,-3.43829862643,-0.387850944888,0.813409620528,13.1,21.3668823242,-3.63028484415,-0.368458397643,-2.58567296592
13.15,69817.0458984,-3.45575191895,-0.358762124021,0.441719131677,13.15,22.6486206055,-3.64773813667,-0.552687596465,-3.07048664703
13.2,75853.0426025,-3.47320521147,-0.349065850399,0.0377077307532,13.2,24.3865966797,-3.68264472171,-0.766005616153,-1.70223470256
13.25,77377.432251,-3.49065850399,-0.358762124021,-0.253180477912,13.25,26.0330200195,-3.73500459927,-0.775701889775,0.603323692048
13.3,80540.5407715,-3.50811179651,-0.378154671265,-0.339369576776,13.3,26.6738891602,-3.76991118431,-0.610865238198,1.26051557088
13.35,79543.8244629,-3.52556508903,-0.436332312999,0.285501389986,13.35,26.9485473633,-3.78736447683,-0.572080143709,0.457879587715
13.4,79016.151123,-3.56047167407,-0.349065850399,0.80263598317,13.4,28.9001464844,-3.82227106187,-0.62056151182,0.398624582246
13.45,79074.7814941,-3.56047167407,-0.271495661421,-0.113123192259,13.45,32.1929931641,-3.85717764691,-0.552687596465,0.716446884306
13.5,78664.3688965,-3.57792496659,-0.358762124021,-0.969627362219,13.5,32.5286865234,-3.87463093943,-0.523598775598,0.657191878837
13.55,77729.2144775,-3.59537825911,-0.455724860243,-0.307048664702,13.55,32.8033447266,-3.90953752447,-0.494509954732,0.6410314228
13.6,78957.520752,-3.63028484415,-0.436332312999,1.15816601598,13.6,31.5231323242,-3.92699081699,-0.426636039376,0.0377077307531
13.65,80247.388916,-3.64773813667,-0.261799387799,1.27128920824,13.65,29.9667358398,-3.94444410951,-0.494509954732,-0.452492769035
13.7,78198.2574463,-3.64773813667,-0.232710566933,-0.0269340933952,13.7,28.9611816406,-3.97935069455,-0.513902501976,-0.166991379049
13.75,75032.2174072,-3.66519142919,-0.31028075591,-0.667965516195,13.75,28.2592773438,-3.99680398707,-0.513902501976,0.220859565839
13.8,73979.8022461,-3.68264472171,-0.339369576777,-0.614097329405,13.8,28.2592773438,-4.03171057211,-0.494509954732,0.721833702985
13.85,77436.0626221,-3.70009801423,-0.358762124021,-0.608710510726,13.85,28.0456542969,-4.04916386463,-0.416939765754,0.883438263355
13.9,80130.1281738,-3.71755130675,-0.387850944888,-0.624870966764,13.9,28.0151367188,-4.06661715715,-0.436332312999,1.53524332351
13.95,83527.7581787,-3.73500459927,-0.465421133865,0.204699109801,13.95,28.2592773438,-4.10152374219,-0.300584482288,2.68263570214
14,85931.6033936,-3.76991118431,-0.426636039376,2.00389654859,14,27.83203125,-4.10152374219,-0.0872664625997,2.36481340008
14.05,90853.6230469,-3.78736447683,-0.213318019688,2.81730616911,14.05,27.2842407227,-4.10152374219,-0.0193925472444,1.1797132907
